slug,name_en,leagues,height_weight_mismatch,mismatched_fields,height_cm_values,weight_kg_values,nationality_values,birthdate_values,resolved_height_cm,resolved_weight_kg,freshest_league,freshest_scraped_at
matthieu-jalibert,Matthieu JALIBERT,top14|national,yes,height_cm|weight_kg,top14:184|national:180,top14:81|national:88,top14:['France']|national:['France'],top14:None|national:None,184,81,top14,2026-07-25T22:17:29+09:00
max-jorgensen,Max JORGENSEN,super-rugby|national,yes,height_cm|weight_kg,super-rugby:178|national:180,super-rugby:90|national:84,super-rugby:['Australia']|national:['Australia'],super-rugby:None|national:None,178,90,super-rugby,2026-07-25T23:53:12+09:00
max-ojomoh,Max OJOMOH,premiership|national,yes,height_cm,premiership:183|national:184,premiership:100|national:100,premiership:['England']|national:['England'],premiership:None|national:None,184,100,national,2026-07-24T00:15:16+09:00
max-spring,Max SPRING,top14|national,yes,height_cm|weight_kg,top14:171|national:178,top14:80|national:77,top14:['France']|national:['France'],top14:None|national:None,171,80,top14,2026-07-25T22:52:32+09:00
max-williamson,Max WILLIAMSON,urc|national,yes,height_cm|weight_kg,urc:196|national:197,urc:116|national:119,urc:['Scotland']|national:['Scotland'],urc:None|national:None,197,119,national,2026-07-23T23:48:07+09:00
maxime-lamothe,Maxime LAMOTHE,top14|national,yes,height_cm|weight_kg,top14:186|national:180,top14:108|national:111,top14:['France']|national:['France'],top14:None|national:None,186,108,top14,2026-07-25T22:16:26+09:00
maxime-lucu,Maxime LUCU,top14|national,yes,height_cm|weight_kg,top14:176|national:175,top14:82|national:86,top14:['France']|national:['France'],top14:None|national:None,176,82,top14,2026-07-25T22:17:14+09:00
mesake-doge,Mesake DOGE,super-rugby|national,yes,height_cm|weight_kg,super-rugby:185|national:183,super-rugby:118|national:125,super-rugby:[]|national:[],super-rugby:None|national:None,185,118,super-rugby,2026-07-25T23:58:35+09:00
mesake-vocevoce,Mesake VOCEVOCE,super-rugby|national,yes,height_cm|weight_kg,super-rugby:199|national:202,super-rugby:110|national:111,super-rugby:[]|national:[],super-rugby:None|national:None,199,110,super-rugby,2026-07-25T23:59:01+09:00
michael-alaalatoa,Michael ALAALATOA,urc|national,yes,height_cm|weight_kg,urc:193|national:196,urc:133|national:132,"urc:['Australia', 'Samoa']|national:['Australia', 'Samoa']",urc:None|national:None,196,132,national,2026-07-24T00:39:02+09:00
michael-baska,Michael BASKA,mlr|national,yes,height_cm|weight_kg,mlr:191|national:186,mlr:91|national:82,mlr:[]|national:[],mlr:None|national:None,186,82,national,2026-07-24T00:36:10+09:00
michele-lamaro,Michele LAMARO,urc|national,yes,height_cm|weight_kg,urc:185|national:186,urc:102|national:103,urc:['Italy']|national:['Italy'],urc:None|national:None,186,103,national,2026-07-24T00:01:54+09:00
mickael--guillard,Mickaël GUILLARD,top14|national,yes,height_cm|weight_kg,top14:198|national:193,top14:122|national:118,top14:['France']|national:['France'],top14:None|national:None,198,122,top14,2026-07-25T22:32:00+09:00
mikehil-alania,Mikheil ALANIA,top14|national,yes,height_cm|weight_kg,top14:177|national:184,top14:85|national:81,top14:['Georgia']|national:['Georgia'],top14:None|national:None,177,85,top14,2026-07-25T23:03:56+09:00
mikheili-shioshvili,Mikheili SHIOSHVILI,top14|national,yes,height_cm|weight_kg,top14:196|national:188,top14:119|national:123,top14:[]|national:[],top14:None|national:None,196,119,top14,2026-07-25T22:54:47+09:00
miles-amatosero,Miles AMATOSERO,super-rugby|national,yes,height_cm|weight_kg,super-rugby:198|national:208,super-rugby:129|national:125,super-rugby:[]|national:[],super-rugby:None|national:None,198,129,super-rugby,2026-07-25T23:52:12+09:00
mills-sanerivi,Mills SANERIVI,super-rugby|national,yes,height_cm|weight_kg,super-rugby:178|national:176,super-rugby:117|national:118,"super-rugby:['New Zealand', 'Samoa']|national:['New Zealand', 'Samoa']",super-rugby:None|national:None,178,117,super-rugby,2026-07-26T00:00:53+09:00
miracle-fai-ilagi,Miracle FAI'ILAGI,super-rugby|national,yes,height_cm,super-rugby:189|national:191,super-rugby:105|national:105,super-rugby:['Samoa']|national:['Samoa'],super-rugby:None|national:None,189,105,super-rugby,2026-07-26T00:01:21+09:00
mitch-wilson,Mitch WILSON,mlr|national,yes,height_cm|weight_kg,mlr:170|national:171,mlr:85|national:81,"mlr:['Australia', 'United-States']|national:['Australia', 'United-States']",mlr:None|national:None,171,81,national,2026-07-24T00:36:48+09:00
monty-ioane,Monty IOANE,top14|national,yes,height_cm|weight_kg,top14:180|national:181,top14:90|national:92,"top14:['Australia', 'Italy']|national:['Australia', 'Italy']",top14:None|national:None,180,90,top14,2026-07-25T22:33:24+09:00
moses-alo-emile,Moses ALO-EMILE,top14|national,yes,weight_kg,top14:183|national:183,top14:127|national:133,"top14:['Australia', 'France']|national:['Australia', 'France']",top14:None|national:None,183,127,top14,2026-07-25T22:39:18+09:00
motikiai-murray,Motikiai MURRAY,super-rugby|national,yes,weight_kg,super-rugby:189|national:189,super-rugby:90|national:95,super-rugby:[]|national:[],super-rugby:None|national:None,189,90,super-rugby,2026-07-25T23:59:21+09:00
naoto-saito,Naoto SAITO,top14|national,yes,height_cm|weight_kg|birthdate,top14:170|national:164,top14:72|national:80,top14:['Japan']|national:['Japan'],top14:None|national:1997-08-26,170,72,top14,2026-07-25T22:58:55+09:00
nathan-den-hoedt,Nathan DEN HOEDT,mlr|national,yes,height_cm|weight_kg,mlr:200|national:204,mlr:123|national:114,mlr:[]|national:[],mlr:None|national:None,204,114,national,2026-07-24T00:35:30+09:00
niccolo-cannone,Niccolò CANNONE,urc|national,yes,height_cm|weight_kg,urc:192|national:199,urc:120|national:119,urc:['Italy']|national:['Italy'],urc:None|national:None,199,119,national,2026-07-24T00:01:33+09:00
nick--tompkins,Nick TOMPKINS,premiership|national,yes,height_cm|weight_kg,premiership:180|national:187,premiership:97|national:93,"premiership:['England', 'Wales']|national:['England', 'Wales']",premiership:None|national:None,187,93,national,2026-07-24T00:10:48+09:00
nick-champion-de-crespigny,Nick CHAMPION DE CRESPIGNY,super-rugby|national,yes,height_cm|weight_kg,super-rugby:195|national:191,super-rugby:112|national:111,super-rugby:[]|national:[],super-rugby:None|national:None,195,112,super-rugby,2026-07-25T23:55:01+09:00
nick-frost,Nick FROST,super-rugby|national,yes,height_cm|weight_kg,super-rugby:204|national:206,super-rugby:121|national:115,super-rugby:[]|national:[],super-rugby:None|national:None,204,121,super-rugby,2026-07-25T23:47:48+09:00
nick-timoney,Nick TIMONEY,urc|national,yes,height_cm|weight_kg,urc:186|national:193,urc:111|national:110,urc:['Ireland']|national:['Ireland'],urc:None|national:None,193,110,national,2026-07-23T23:59:37+09:00
nicky-smith,Nicky SMITH,premiership|national,yes,height_cm|weight_kg,premiership:188|national:185,premiership:123|national:118,premiership:['Wales']|national:['Wales'],premiership:None|national:None,185,118,national,2026-07-24T00:08:41+09:00
nicolas-depoortere,Nicolas DEPOORTÈRE,top14|national,yes,height_cm|weight_kg,top14:196|national:197,top14:94|national:91,top14:['France']|national:['France'],top14:None|national:None,196,94,top14,2026-07-25T22:17:36+09:00
nika-abuladze,Nika ABULADZE,top14|national,yes,height_cm|weight_kg,top14:184|national:185,top14:131|national:126,top14:['Georgia']|national:['Georgia'],top14:None|national:None,184,131,top14,2026-07-25T22:35:06+09:00
nika-sutidze,Nika SUTIDZE,top14|national,yes,height_cm|weight_kg,top14:182|national:183,top14:99|national:109,top14:[]|national:[],top14:None|national:None,182,99,top14,2026-07-25T22:28:03+09:00
niko-jones,Niko JONES,super-rugby|national,yes,height_cm|weight_kg,super-rugby:183|national:190,super-rugby:99|national:101,"super-rugby:['New Zealand', 'Samoa']|national:['New Zealand', 'Samoa']",super-rugby:None|national:None,183,99,super-rugby,2026-07-26T00:01:24+09:00
noah-nene,Noah NÉNÉ,top14|national,yes,height_cm|weight_kg,top14:195|national:196,top14:106|national:103,top14:['France']|national:['France'],top14:None|national:None,195,106,top14,2026-07-25T22:41:02+09:00
nolann-le-garrec,Nolann LE GARREC,top14|national,yes,height_cm|weight_kg,top14:171|national:178,top14:76|national:77,top14:['France']|national:['France'],top14:None|national:None,171,76,top14,2026-07-25T22:29:07+09:00
ntuthuko-mchunu,Ntuthuko MCHUNU,urc|national,yes,height_cm|weight_kg,urc:191|national:187,urc:124|national:121,urc:['South Africa']|national:['South Africa'],urc:None|national:None,187,121,national,2026-07-24T00:05:32+09:00
ollie-chessum,Ollie CHESSUM,premiership|national,yes,height_cm,premiership:198|national:205,premiership:114|national:114,premiership:['England']|national:['England'],premiership:None|national:None,205,114,national,2026-07-24T00:14:20+09:00
ollie-lawrence,Ollie LAWRENCE,premiership|national,yes,height_cm|weight_kg,premiership:177|national:178,premiership:100|national:105,premiership:['England']|national:['England'],premiership:None|national:None,178,105,national,2026-07-24T00:15:19+09:00
ollie-smith,Ollie SMITH,urc|national,yes,height_cm|weight_kg,urc:192|national:185,urc:95|national:101,urc:['Scotland']|national:['Scotland'],urc:None|national:None,185,101,national,2026-07-23T23:49:38+09:00
oriol-marsinyac,Oriol MARSINYAC,top14|national,yes,height_cm|weight_kg,top14:183|national:191,top14:99|national:98,top14:['Spain']|national:['Spain'],top14:None|national:None,183,99,top14,2026-07-25T23:01:52+09:00
oscar-jegou,Oscar JÉGOU,top14|national,yes,height_cm|weight_kg,top14:186|national:185,top14:86|national:91,top14:['France']|national:['France'],top14:None|national:None,186,86,top14,2026-07-25T22:29:02+09:00
ox-nche,Ox NCHÉ,urc|national,yes,height_cm|weight_kg,urc:177|national:175,urc:124|national:125,urc:['South Africa']|national:['South Africa'],urc:None|national:None,175,125,national,2026-07-24T00:05:35+09:00
paddy-mccarthy,Paddy MCCARTHY,urc|national,yes,weight_kg,urc:181|national:181,urc:107|national:114,urc:['Ireland']|national:['Ireland'],urc:None|national:None,181,114,national,2026-07-23T23:58:31+09:00
paddy-ryan-1998,Paddy RYAN,mlr|national,yes,height_cm|weight_kg,mlr:189|national:193,mlr:110|national:107,"mlr:['Ireland', 'United-States']|national:['Ireland', 'United-States']",mlr:None|national:None,193,107,national,2026-07-24T00:36:01+09:00
paolo-garbisi,Paolo GARBISI,top14|national,yes,height_cm|weight_kg,top14:180|national:187,top14:101|national:94,top14:['Italy']|national:['Italy'],top14:None|national:None,180,101,top14,2026-07-25T22:55:15+09:00
pasilio-tosi,Pasilio TOSI,super-rugby|national,yes,height_cm|weight_kg,super-rugby:194|national:195,super-rugby:141|national:146,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,194,141,super-rugby,2026-07-25T23:37:17+09:00
patrick-harrison,Patrick HARRISON,urc|national,yes,height_cm|weight_kg,urc:185|national:177,urc:111|national:107,urc:['Scotland']|national:['Scotland'],urc:None|national:None,177,107,national,2026-07-23T23:47:42+09:00
patrick-pellegrini,Pat PELLEGRINI,super-rugby|national,yes,height_cm|weight_kg,super-rugby:171|national:174,super-rugby:77|national:82,"super-rugby:['Australia', 'Tonga']|national:['Australia', 'Tonga']",super-rugby:None|national:None,171,77,super-rugby,2026-07-26T00:01:59+09:00
patrick-tuipulotu,Patrick TUIPULOTU,super-rugby|national,yes,height_cm|weight_kg,super-rugby:199|national:203,super-rugby:125|national:119,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,199,125,super-rugby,2026-07-25T23:42:39+09:00
paul-boudehent,Paul BOUDEHENT,top14|national,yes,height_cm,top14:193|national:192,top14:106|national:106,top14:['France']|national:['France'],top14:None|national:None,193,106,top14,2026-07-25T22:29:04+09:00
paul-graou,Paul GRAOU,top14|national,yes,height_cm|weight_kg,top14:178|national:173,top14:92|national:94,top14:['France']|national:['France'],top14:None|national:None,178,92,top14,2026-07-25T22:58:58+09:00
paula-latu,Paula LATU,super-rugby|national,yes,height_cm|weight_kg,super-rugby:184|national:191,super-rugby:122|national:124,super-rugby:[]|national:[],super-rugby:None|national:None,184,122,super-rugby,2026-07-26T00:00:45+09:00
paulo-odogwu,Paolo ODOGWU,urc|national,yes,weight_kg,urc:179|national:179,urc:95|national:103,"urc:['England', 'Italy']|national:['England', 'Italy']",urc:None|national:None,179,103,national,2026-07-24T00:02:42+09:00
payton-telea-ilalio,Payton TELEA-ILALIO,mlr|national,yes,height_cm|weight_kg,mlr:180|national:177,mlr:118|national:117,mlr:['United-States']|national:['United-States'],mlr:None|national:None,177,117,national,2026-07-24T00:35:04+09:00
peato-mauvaka,Péato MAUVAKA,top14|national,yes,height_cm|weight_kg,top14:183|national:186,top14:115|national:111,top14:['France']|national:['France'],top14:None|national:None,183,115,top14,2026-07-25T22:58:03+09:00
peceli-yato,Peceli YATO,top14|national,yes,height_cm|weight_kg,top14:195|national:197,top14:125|national:115,top14:['Fiji']|national:['Fiji'],top14:None|national:None,195,125,top14,2026-07-25T22:47:12+09:00
pedro-delgado,Pedro DELGADO,premiership|national,yes,height_cm|weight_kg,premiership:187|national:184,premiership:140|national:139,premiership:['Argentina']|national:['Argentina'],premiership:None|national:None,184,139,national,2026-07-24T00:15:57+09:00
peni-ravai,Peni RAVAI,super-rugby|national,yes,height_cm|weight_kg,super-rugby:186|national:188,super-rugby:122|national:117,super-rugby:['Fiji']|national:['Fiji'],super-rugby:None|national:None,186,122,super-rugby,2026-07-25T23:58:37+09:00
pete-samu,Pete SAMU,super-rugby|national,yes,height_cm|weight_kg,super-rugby:190|national:185,super-rugby:107|national:103,super-rugby:['Australia']|national:['Australia'],super-rugby:None|national:None,190,107,super-rugby,2026-07-25T23:52:31+09:00
peter-lakai,Peter LAKAI,super-rugby|national,yes,height_cm|weight_kg,super-rugby:182|national:187,super-rugby:112|national:114,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,182,112,super-rugby,2026-07-25T23:38:20+09:00
philip-baselala,Philip BASELALA,super-rugby|national,no,,super-rugby:None|national:None,super-rugby:None|national:None,super-rugby:[]|national:[],super-rugby:None|national:None,,,super-rugby,2026-07-25T23:59:32+09:00
pierre-bochaton,Pierre BOCHATON,top14|national,yes,height_cm|weight_kg,top14:200|national:193,top14:104|national:107,top14:['France']|national:['France'],top14:None|national:None,200,104,top14,2026-07-25T22:17:00+09:00
pierre-louis-barassi,Pierre-Louis BARASSI,top14|national,yes,height_cm|weight_kg,top14:184|national:189,top14:104|national:102,top14:['France']|national:['France'],top14:None|national:None,184,104,top14,2026-07-25T22:59:20+09:00
pierre-schoeman,Pierre SCHOEMAN,urc|national,yes,height_cm,urc:181|national:188,urc:118|national:118,"urc:['South Africa', 'Scotland']|national:['South Africa', 'Scotland']",urc:None|national:None,188,118,national,2026-07-23T23:47:17+09:00
piers-von-dadelszen,Piers VON DADELSZEN,mlr|national,yes,height_cm|weight_kg,mlr:190|national:198,mlr:115|national:113,mlr:[]|national:[],mlr:None|national:None,198,113,national,2026-07-23T23:50:22+09:00
pita-gus-sowakula,Pita-Gus SOWAKULA,top14|national,yes,height_cm|weight_kg,top14:200|national:194,top14:122|national:117,"top14:['Fiji', 'New Zealand']|national:['Fiji', 'New Zealand']",top14:None|national:None,200,122,top14,2026-07-25T22:24:59+09:00
quinn-tupaea,Quinn TUPAEA,super-rugby|national,yes,height_cm|weight_kg,super-rugby:184|national:189,super-rugby:100|national:96,super-rugby:[]|national:[],super-rugby:None|national:None,184,100,super-rugby,2026-07-25T23:41:07+09:00
reda-wardi,Reda WARDI,top14|national,yes,height_cm|weight_kg,top14:190|national:189,top14:106|national:113,top14:['France']|national:['France'],top14:None|national:None,190,106,top14,2026-07-25T22:27:55+09:00
regis-montagne,Régis MONTAGNE,top14|national,yes,height_cm,top14:181|national:182,top14:133|national:133,top14:['France']|national:['France'],top14:None|national:None,181,133,top14,2026-07-25T22:24:03+09:00
rg-snyman,RG SNYMAN,urc|national,yes,height_cm|weight_kg,urc:203|national:207,urc:132|national:130,urc:['South Africa']|national:['South Africa'],urc:None|national:None,207,130,national,2026-07-24T00:06:28+09:00
rhys-carre,Rhys CARRÉ,premiership|national,yes,height_cm|weight_kg,premiership:186|national:189,premiership:131|national:130,premiership:['Wales']|national:['Wales'],premiership:None|national:None,189,130,national,2026-07-24T00:08:46+09:00
riccardo-favretto,Riccardo FAVRETTO,urc|national,yes,height_cm|weight_kg,urc:202|national:205,urc:113|national:109,urc:['Italy']|national:['Italy'],urc:None|national:None,205,109,national,2026-07-24T00:01:36+09:00
richie-asiata,Richie ASIATA,super-rugby|national,yes,height_cm|weight_kg,super-rugby:182|national:185,super-rugby:121|national:120,super-rugby:[]|national:[],super-rugby:None|national:None,182,121,super-rugby,2026-07-25T23:49:37+09:00
rieko-ioane,Rieko IOANE,urc|national,yes,height_cm|weight_kg,urc:184|national:193,urc:103|national:106,urc:['New Zealand']|national:['New Zealand'],urc:None|national:None,193,106,national,2026-07-24T00:04:51+09:00
rio-dyer,Rio DYER,urc|national,yes,height_cm|weight_kg,urc:185|national:187,urc:89|national:86,urc:['Wales']|national:['Wales'],urc:None|national:None,187,86,national,2026-07-24T00:11:04+09:00
rob-valetini,Rob VALETINI,super-rugby|national,yes,height_cm|weight_kg,super-rugby:188|national:191,super-rugby:116|national:112,super-rugby:['Australia']|national:['Australia'],super-rugby:None|national:None,188,116,super-rugby,2026-07-25T23:47:57+09:00
robbie-henshaw,Robbie HENSHAW,urc|national,yes,height_cm|weight_kg,urc:192|national:191,urc:96|national:98,urc:['Ireland']|national:['Ireland'],urc:None|national:None,191,98,national,2026-07-24T00:00:15+09:00
robert-baloucoune,Robert BALOUCOUNE,urc|national,yes,height_cm|weight_kg,urc:189|national:194,urc:105|national:103,urc:['Ireland']|national:['Ireland'],urc:None|national:None,194,103,national,2026-07-24T00:00:33+09:00
rodrigue-neti,Rodrigue NETI,top14|national,yes,height_cm|weight_kg,top14:190|national:181,top14:125|national:128,top14:['France']|national:['France'],top14:None|national:None,190,125,top14,2026-07-25T22:57:49+09:00
romain-ntamack,Romain NTAMACK,top14|national,yes,height_cm|weight_kg,top14:188|national:181,top14:96|national:99,top14:['France']|national:['France'],top14:None|national:None,188,96,top14,2026-07-25T22:59:04+09:00
romain-taofifenua,Romain TAOFIFENUA,top14|national,yes,height_cm|weight_kg,top14:201|national:203,top14:139|national:137,top14:['France']|national:['France'],top14:None|national:None,201,139,top14,2026-07-25T22:51:01+09:00
ronan-kelleher,Ronan KELLEHER,urc|national,yes,height_cm|weight_kg,urc:180|national:186,urc:110|national:112,urc:['Ireland']|national:['Ireland'],urc:None|national:None,186,112,national,2026-07-23T23:58:51+09:00
rory-darge,Rory DARGE,urc|national,yes,height_cm|weight_kg,urc:186|national:184,urc:102|national:98,urc:['Scotland']|national:['Scotland'],urc:None|national:None,184,98,national,2026-07-23T23:48:43+09:00
rory-hutchinson,Rory HUTCHINSON,premiership|national,yes,height_cm|weight_kg,premiership:184|national:186,premiership:95|national:99,"premiership:['England', 'Scotland']|national:['England', 'Scotland']",premiership:None|national:None,186,99,national,2026-07-23T23:49:17+09:00
rory-sutherland,Rory SUTHERLAND,urc|national,yes,height_cm,urc:187|national:182,urc:111|national:111,urc:['Scotland']|national:['Scotland'],urc:None|national:None,182,111,national,2026-07-23T23:47:20+09:00
ross-vintcent,Ross VINTCENT,premiership|national,yes,weight_kg,premiership:182|national:182,premiership:102|national:103,"premiership:['South Africa', 'Italy']|national:['South Africa', 'Italy']",premiership:None|national:None,182,103,national,2026-07-24T00:01:57+09:00
ruan-nortje,Ruan NORTJÉ,urc|national,yes,height_cm|weight_kg,urc:201|national:198,urc:109|national:115,urc:['South Africa']|national:['South Africa'],urc:None|national:None,198,115,national,2026-07-24T00:06:34+09:00
ruben-de-haas,Ruben DE HAAS,mlr|national,yes,height_cm,mlr:181|national:180,mlr:83|national:83,"mlr:['South Africa', 'United-States']|national:['South Africa', 'United-States']",mlr:None|national:None,180,83,national,2026-07-24T00:36:13+09:00
ruben-love,Ruben LOVE,super-rugby|national,yes,weight_kg,super-rugby:179|national:179,super-rugby:87|national:93,super-rugby:[]|national:[],super-rugby:None|national:None,179,87,super-rugby,2026-07-25T23:39:15+09:00
rufus-mclean,Rufus MCLEAN,mlr|national,yes,height_cm|weight_kg,mlr:176|national:186,mlr:89|national:91,"mlr:['United-States', 'Scotland']|national:['United-States', 'Scotland']",mlr:None|national:None,186,91,national,2026-07-24T00:36:42+09:00
ryan-baird,Ryan BAIRD,urc|national,yes,height_cm|weight_kg,urc:199|national:195,urc:111|national:114,urc:['Ireland']|national:['Ireland'],urc:None|national:None,195,114,national,2026-07-23T23:59:15+09:00
ryan-elias,Ryan ELIAS,urc|national,yes,height_cm|weight_kg,urc:191|national:184,urc:114|national:113,urc:['Wales']|national:['Wales'],urc:None|national:None,184,113,national,2026-07-24T00:09:02+09:00
ryan-lonergan,Ryan LONERGAN,super-rugby|national,yes,height_cm,super-rugby:186|national:185,super-rugby:85|national:85,super-rugby:['Australia']|national:['Australia'],super-rugby:None|national:None,186,85,super-rugby,2026-07-25T23:48:14+09:00
sacha-mngomezulu,Sacha FEINBERG-MNGOMEZULU,urc|national,yes,height_cm|weight_kg,urc:192|national:185,urc:97|national:89,urc:['South Africa']|national:['South Africa'],urc:None|national:None,185,89,national,2026-07-24T00:07:34+09:00
salesi-rayasi,Salesi RAYASI,top14|national,yes,height_cm|weight_kg,top14:196|national:197,top14:100|national:101,top14:[]|national:[],top14:None|national:None,196,100,top14,2026-07-25T22:18:03+09:00
sam-costelow,Sam COSTELOW,urc|national,yes,height_cm|weight_kg,urc:180|national:172,urc:84|national:87,urc:['Wales']|national:['Wales'],urc:None|national:None,172,87,national,2026-07-24T00:10:26+09:00
sam-darry,Sam DARRY,super-rugby|national,yes,height_cm,super-rugby:199|national:206,super-rugby:111|national:111,super-rugby:[]|national:[],super-rugby:None|national:None,199,111,super-rugby,2026-07-25T23:42:42+09:00
sam-moli,Sam MOLI,super-rugby|national,yes,height_cm|weight_kg,super-rugby:181|national:180,super-rugby:116|national:112,"super-rugby:['New Zealand', 'Tonga']|national:['New Zealand', 'Tonga']",super-rugby:None|national:None,181,116,super-rugby,2026-07-26T00:00:56+09:00
sam-prendergast,Sam PRENDERGAST,urc|national,yes,height_cm|weight_kg,urc:198|national:195,urc:88|national:92,urc:['Ireland']|national:['Ireland'],urc:None|national:None,195,92,national,2026-07-24T00:00:03+09:00
sam-tuitupou-2005,Sam TUITUPOU,super-rugby|national,no,,super-rugby:None|national:None,super-rugby:None|national:None,super-rugby:[]|national:[],super-rugby:None|national:None,,,super-rugby,2026-07-26T00:01:29+09:00
sam-underhill,Sam UNDERHILL,premiership|national,yes,height_cm|weight_kg,premiership:186|national:189,premiership:111|national:109,premiership:['England']|national:['England'],premiership:None|national:None,189,109,national,2026-07-24T00:14:38+09:00
sama-malolo,Sama MALOLO,top14|national,yes,height_cm|weight_kg,top14:185|national:180,top14:111|national:107,"top14:['New Zealand', 'Samoa']|national:['New Zealand', 'Samoa']",top14:None|national:None,185,111,top14,2026-07-25T22:46:51+09:00
samisoni-taukei-aho,Samisoni TAUKEI'AHO,super-rugby|national,yes,height_cm|weight_kg,super-rugby:185|national:181,super-rugby:113|national:115,"super-rugby:['Tonga', 'New Zealand']|national:['Tonga', 'New Zealand']",super-rugby:None|national:None,185,113,super-rugby,2026-07-25T23:39:58+09:00
samu-tawake,Samu TAWAKE,super-rugby|national,yes,height_cm|weight_kg,super-rugby:181|national:178,super-rugby:122|national:116,super-rugby:[]|national:[],super-rugby:None|national:None,181,122,super-rugby,2026-07-25T23:58:41+09:00
samuel-ezeala,Samuel EZEALA,top14|national,yes,height_cm|weight_kg,top14:189|national:183,top14:104|national:94,top14:[]|national:[],top14:None|national:None,189,104,top14,2026-07-25T22:41:17+09:00
santiago-carreras,Santiago CARRERAS,premiership|national,yes,height_cm|weight_kg,premiership:182|national:187,premiership:84|national:85,premiership:['Argentina']|national:['Argentina'],premiership:None|national:None,187,85,national,2026-07-24T00:16:59+09:00
santiago-chocobares,Santiago CHOCOBARES,top14|national,yes,height_cm|weight_kg,top14:191|national:192,top14:97|national:95,top14:['Argentina']|national:['Argentina'],top14:None|national:None,191,97,top14,2026-07-25T22:59:23+09:00
santiago-grondona,Santiago GRONDONA,premiership|national,yes,height_cm|weight_kg,premiership:199|national:202,premiership:109|national:112,premiership:['Argentina']|national:['Argentina'],premiership:None|national:None,202,112,national,2026-07-24T00:16:44+09:00
santiago-videla,Santiago VIDELA,mlr|national,yes,height_cm|weight_kg,mlr:178|national:175,mlr:91|national:97,mlr:[]|national:[],mlr:None|national:None,175,97,national,2026-07-24T00:34:22+09:00
scott-barrett,Scott BARRETT,super-rugby|national,yes,height_cm|weight_kg,super-rugby:193|national:199,super-rugby:122|national:119,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,193,122,super-rugby,2026-07-25T23:45:13+09:00
scott-cummings,Scott CUMMINGS,urc|national,yes,height_cm|weight_kg,urc:195|national:201,urc:121|national:119,urc:['Scotland']|national:['Scotland'],urc:None|national:None,201,119,national,2026-07-23T23:48:10+09:00
scott-sio,Scott SIO,premiership|national,yes,height_cm|weight_kg,premiership:184|national:192,premiership:127|national:122,premiership:['Australia']|national:['Australia'],premiership:None|national:None,192,122,national,2026-07-24T00:39:08+09:00
sean-mcnulty,Sean MCNULTY,mlr|national,yes,height_cm|weight_kg,mlr:193|national:187,mlr:116|national:108,mlr:[]|national:[],mlr:None|national:None,187,108,national,2026-07-24T00:35:21+09:00
seb-atkinson,Seb ATKINSON,premiership|national,yes,height_cm|weight_kg,premiership:186|national:185,premiership:100|national:99,premiership:['England']|national:['England'],premiership:None|national:None,185,99,national,2026-07-24T00:15:22+09:00
selestino-ravutaumada,Selestino RAVUTAUMADA,top14|national,yes,height_cm|weight_kg,top14:183|national:182,top14:89|national:93,top14:['Fiji']|national:['Fiji'],top14:None|national:None,183,89,top14,2026-07-25T22:52:18+09:00
semisi-paea,Semisi PAEA,super-rugby|national,yes,height_cm|weight_kg,super-rugby:199|national:197,super-rugby:118|national:110,super-rugby:[]|national:[],super-rugby:None|national:None,199,118,super-rugby,2026-07-26T00:01:32+09:00
setareki-turagacoke,Setareki TURAGACOKE,top14|national,yes,height_cm|weight_kg,top14:201|national:198,top14:113|national:114,top14:['Fiji']|national:['Fiji'],top14:None|national:None,201,113,top14,2026-07-25T22:39:59+09:00
setariki-tuicuvu,Setariki TUICUVU,top14|national,yes,weight_kg,top14:179|national:179,top14:92|national:90,top14:['Fiji']|national:['Fiji'],top14:None|national:None,179,92,top14,2026-07-25T22:55:49+09:00
sevu-reece,Sevu REECE,super-rugby|national,yes,height_cm|weight_kg,super-rugby:176|national:184,super-rugby:103|national:94,"super-rugby:['Fiji', 'New Zealand']|national:['Fiji', 'New Zealand']",super-rugby:None|national:None,176,103,super-rugby,2026-07-25T23:46:40+09:00
siaosi-nginingini,Siaosi NGININGINI,super-rugby|national,yes,height_cm|weight_kg,super-rugby:188|national:178,super-rugby:91|national:94,super-rugby:[]|national:[],super-rugby:None|national:None,188,91,super-rugby,2026-07-26T00:01:53+09:00
simione-kuruvoli,Simi KURUVOLI,super-rugby|national,yes,height_cm|weight_kg,super-rugby:170|national:173,super-rugby:79|national:77,super-rugby:[]|national:[],super-rugby:None|national:None,170,79,super-rugby,2026-07-25T23:59:35+09:00
simon-parker,Simon PARKER,super-rugby|national,yes,height_cm|weight_kg,super-rugby:190|national:196,super-rugby:107|national:110,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,190,107,super-rugby,2026-07-25T23:40:37+09:00
simone-ferrari,Simone FERRARI,urc|national,yes,height_cm|weight_kg,urc:187|national:184,urc:120|national:115,urc:['Italy']|national:['Italy'],urc:None|national:None,184,115,national,2026-07-24T00:01:06+09:00
