slug,name_en,leagues,height_weight_mismatch,mismatched_fields,height_cm_values,weight_kg_values,nationality_values,birthdate_values,resolved_height_cm,resolved_weight_kg,freshest_league,freshest_scraped_at
alex-samuel,Alex SAMUEL,urc|national,yes,height_cm|weight_kg,urc:212|national:205,urc:127|national:124,urc:['Scotland']|national:['Scotland'],urc:None|national:None,205,124,national,2026-07-23T23:47:50+09:00
alexandre-roumat,Alexandre ROUMAT,top14|national,yes,height_cm|weight_kg,top14:202|national:199,top14:115|national:112,top14:['France']|national:['France'],top14:None|national:None,202,115,top14,2026-07-25T22:58:26+09:00
allan-alaalatoa,Allan ALAALATOA,super-rugby|national,yes,height_cm|weight_kg,super-rugby:183|national:185,super-rugby:120|national:123,super-rugby:['Australia']|national:['Australia'],super-rugby:None|national:None,183,120,super-rugby,2026-07-25T23:47:09+09:00
alvaro-garcia,Álvaro GARCIA,top14|national,yes,height_cm|weight_kg,top14:183|national:184,top14:122|national:115,top14:[]|national:[],top14:None|national:None,183,122,top14,2026-07-25T22:39:33+09:00
andre-esterhuizen,André ESTERHUIZEN,urc|national,yes,height_cm|weight_kg,urc:189|national:190,urc:115|national:110,urc:['South Africa']|national:['South Africa'],urc:None|national:None,190,110,national,2026-07-24T00:07:40+09:00
andrew-kellaway,Andrew KELLAWAY,super-rugby|national,yes,height_cm|weight_kg,super-rugby:184|national:186,super-rugby:96|national:93,super-rugby:['Australia']|national:['Australia'],super-rugby:None|national:None,184,96,super-rugby,2026-07-25T23:52:59+09:00
andrew-porter,Andrew PORTER,urc|national,yes,height_cm|weight_kg,urc:181|national:183,urc:128|national:120,urc:['Ireland']|national:['Ireland'],urc:None|national:None,183,120,national,2026-07-23T23:58:16+09:00
andrew-quattrin,Andrew QUATTRIN,mlr|national,yes,height_cm|weight_kg,mlr:183|national:180,mlr:112|national:119,mlr:['Canada']|national:['Canada'],mlr:None|national:None,180,119,national,2026-07-23T23:49:58+09:00
andro-dvali,Andro DVALI,top14|national,yes,height_cm|weight_kg,top14:188|national:184,top14:96|national:93,top14:[]|national:[],top14:None|national:None,188,96,top14,2026-07-25T22:47:20+09:00
andy-christie,Andy ONYEAMA-CHRISTIE,premiership|national,yes,height_cm|weight_kg,premiership:186|national:194,premiership:102|national:104,"premiership:['England', 'Scotland']|national:['England', 'Scotland']",premiership:None|national:None,194,104,national,2026-07-23T23:48:13+09:00
ange-capuozzo,Ange CAPUOZZO,top14|national,yes,height_cm|weight_kg,top14:181|national:175,top14:86|national:77,"top14:['France', 'Italy']|national:['France', 'Italy']",top14:None|national:None,181,86,top14,2026-07-25T22:59:41+09:00
angus-bell,Angus BELL,urc|national,yes,height_cm|weight_kg,urc:191|national:195,urc:134|national:135,urc:['Australia']|national:['Australia'],urc:None|national:None,195,135,national,2026-07-23T23:51:50+09:00
anthony-jelonch,Anthony JELONCH,top14|national,yes,height_cm|weight_kg,top14:200|national:194,top14:113|national:108,top14:['France']|national:['France'],top14:None|national:None,200,113,top14,2026-07-25T22:58:29+09:00
antoine-dupont,Antoine DUPONT,top14|national,yes,height_cm|weight_kg,top14:176|national:175,top14:82|national:90,top14:['France']|national:['France'],top14:None|national:None,176,82,top14,2026-07-25T22:58:52+09:00
antoine-hastoy,Antoine HASTOY,top14|national,yes,weight_kg,top14:182|national:182,top14:90|national:88,top14:['France']|national:['France'],top14:None|national:None,182,90,top14,2026-07-25T22:29:16+09:00
anton-segner,Anton SEGNER,super-rugby|national,yes,weight_kg,super-rugby:197|national:197,super-rugby:108|national:104,super-rugby:[]|national:[],super-rugby:None|national:None,197,108,super-rugby,2026-07-25T23:42:47+09:00
asafo-aumua,Asafo AUMUA,super-rugby|national,yes,height_cm,super-rugby:179|national:176,super-rugby:107|national:107,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,179,107,super-rugby,2026-07-25T23:37:35+09:00
asher-opoku,Asher OPOKU,premiership|national,yes,height_cm,premiership:188|national:181,premiership:116|national:116,premiership:['England']|national:['England'],premiership:None|national:None,181,116,national,2026-07-24T00:13:30+09:00
atunaisa-moli,Atu MOLI,super-rugby|national,yes,height_cm|weight_kg,super-rugby:188|national:192,super-rugby:127|national:125,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,188,127,super-rugby,2026-07-26T00:00:31+09:00
atunaisa-sokobale,Atunaisa SOKOBALE,top14|national,yes,height_cm|weight_kg,top14:184|national:185,top14:115|national:107,top14:[]|national:[],top14:None|national:None,184,115,top14,2026-07-25T22:19:50+09:00
bachuki-tchumbadze,Bachuki TCHUMBADZE,premiership|national,yes,height_cm|weight_kg,premiership:182|national:179,premiership:123|national:121,premiership:['Georgia']|national:['Georgia'],premiership:None|national:None,179,121,national,2026-07-24T00:17:42+09:00
baptiste-erdocio,Baptiste ERDOCIO,top14|national,yes,height_cm,top14:174|national:175,top14:120|national:120,top14:['France']|national:['France'],top14:None|national:None,174,120,top14,2026-07-25T22:34:54+09:00
baptiste-jauneau,Baptiste JAUNEAU,top14|national,yes,height_cm,top14:167|national:170,top14:81|national:81,top14:['France']|national:['France'],top14:None|national:None,167,81,top14,2026-07-25T22:25:04+09:00
baptiste-serin,Baptiste SERIN,top14|national,yes,height_cm|weight_kg,top14:182|national:181,top14:85|national:82,top14:['France']|national:['France'],top14:None|national:None,182,85,top14,2026-07-25T22:54:58+09:00
barnabe-massa,Barnabé MASSA,top14|national,yes,height_cm|weight_kg,top14:183|national:185,top14:108|national:99,top14:['France']|national:['France'],top14:None|national:None,183,108,top14,2026-07-25T22:24:09+09:00
bautista-delguy,Bautista DELGUY,top14|national,yes,height_cm|weight_kg,top14:178|national:181,top14:88|national:90,top14:['Argentina']|national:['Argentina'],top14:None|national:None,178,88,top14,2026-07-25T22:25:45+09:00
beauden-barrett,Beauden BARRETT,super-rugby|national,yes,height_cm,super-rugby:190|national:189,super-rugby:98|national:98,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,190,98,super-rugby,2026-07-25T23:43:20+09:00
beka-gigashvili,Beka GIGASHVILI,top14|national,yes,height_cm|weight_kg,top14:176|national:184,top14:117|national:119,top14:['Georgia']|national:['Georgia'],top14:None|national:None,176,117,top14,2026-07-25T22:53:34+09:00
beka-gorgadze,Beka GORGADZE,top14|national,yes,height_cm,top14:186|national:187,top14:115|national:115,top14:['Georgia']|national:['Georgia'],top14:None|national:None,186,115,top14,2026-07-25T22:43:36+09:00
beka-saghinadze,Beka SAGINADZE,top14|national,yes,height_cm|weight_kg,top14:196|national:188,top14:115|national:111,top14:['Georgia']|national:['Georgia'],top14:None|national:None,196,115,top14,2026-07-25T22:32:12+09:00
beka-shvangiradze,Beka SHVANGIRADZE,top14|national,yes,height_cm|weight_kg,top14:188|national:189,top14:101|national:103,top14:[]|national:[],top14:None|national:None,188,101,top14,2026-07-25T22:32:15+09:00
ben-donaldson,Ben DONALDSON,super-rugby|national,yes,height_cm|weight_kg,super-rugby:182|national:185,super-rugby:89|national:90,super-rugby:['Australia']|national:['Australia'],super-rugby:None|national:None,182,89,super-rugby,2026-07-25T23:55:25+09:00
ben-earl,Ben EARL,premiership|national,yes,height_cm|weight_kg,premiership:184|national:188,premiership:106|national:105,premiership:['England']|national:['England'],premiership:None|national:None,188,105,national,2026-07-24T00:14:23+09:00
ben-spencer,Ben SPENCER,premiership|national,yes,height_cm|weight_kg,premiership:175|national:183,premiership:92|national:85,premiership:['England']|national:['England'],premiership:None|national:None,183,85,national,2026-07-24T00:14:47+09:00
ben-tameifuna,Ben TAMEIFUNA,top14|national,yes,height_cm|weight_kg,top14:191|national:187,top14:155|national:156,"top14:['New Zealand', 'Tonga']|national:['New Zealand', 'Tonga']",top14:None|national:None,191,155,top14,2026-07-25T22:15:53+09:00
ben-white,Ben WHITE,top14|national,yes,height_cm|weight_kg,top14:176|national:179,top14:93|national:86,"top14:['England', 'Scotland']|national:['England', 'Scotland']",top14:None|national:None,176,93,top14,2026-07-25T22:55:02+09:00
benjamin-bonasso,Ben BONASSO,mlr|national,yes,height_cm,mlr:188|national:190,mlr:103|national:103,"mlr:['Argentina', 'United-States']|national:['Argentina', 'United-States']",mlr:None|national:None,190,103,national,2026-07-24T00:35:36+09:00
beno--obano-,Beno OBANO,premiership|national,yes,height_cm|weight_kg,premiership:180|national:186,premiership:115|national:119,premiership:['England']|national:['England'],premiership:None|national:None,186,119,national,2026-07-24T00:13:34+09:00
bevan-rodd,Bevan RODD,premiership|national,yes,weight_kg,premiership:184|national:184,premiership:116|national:119,"premiership:['Scotland', 'England']|national:['Scotland', 'England']",premiership:None|national:None,184,119,national,2026-07-24T00:13:37+09:00
billy-pollard,Billy POLLARD,super-rugby|national,yes,height_cm|weight_kg,super-rugby:188|national:181,super-rugby:99|national:101,super-rugby:[]|national:[],super-rugby:None|national:None,188,99,super-rugby,2026-07-25T23:47:29+09:00
billy-proctor,Billy PROCTOR,super-rugby|national,yes,height_cm|weight_kg,super-rugby:182|national:189,super-rugby:102|national:95,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,182,102,super-rugby,2026-07-25T23:38:45+09:00
blair-kinghorn,Blair KINGHORN,top14|national,yes,height_cm|weight_kg,top14:191|national:194,top14:107|national:103,top14:['Scotland']|national:['Scotland'],top14:None|national:None,191,107,top14,2026-07-25T22:59:44+09:00
blair-murray,Blair MURRAY,urc|national,yes,height_cm|weight_kg,urc:178|national:176,urc:80|national:78,"urc:['New Zealand', 'Wales']|national:['New Zealand', 'Wales']",urc:None|national:None,176,78,national,2026-07-24T00:11:09+09:00
bongi-mbonambi,Bongi MBONAMBI,urc|national,yes,height_cm|weight_kg,urc:180|national:173,urc:122|national:116,urc:['South Africa']|national:['South Africa'],urc:None|national:None,173,116,national,2026-07-24T00:05:51+09:00
brandon-harvey,Brandon HARVEY,mlr|national,yes,height_cm|weight_kg,mlr:196|national:203,mlr:113|national:117,mlr:[]|national:[],mlr:None|national:None,203,117,national,2026-07-24T00:35:27+09:00
brandon-paenga-amosa,Brandon PAENGA-AMOSA,super-rugby|national,yes,height_cm|weight_kg,super-rugby:184|national:186,super-rugby:120|national:119,"super-rugby:['New Zealand', 'Australia']|national:['New Zealand', 'Australia']",super-rugby:None|national:None,184,120,super-rugby,2026-07-25T23:54:33+09:00
bundee-aki,Bundee AKI,urc|national,yes,height_cm|weight_kg,urc:177|national:182,urc:103|national:106,"urc:['New Zealand', 'Ireland']|national:['New Zealand', 'Ireland']",urc:None|national:None,182,106,national,2026-07-24T00:00:06+09:00
cadan-murley,Cadan MURLEY,premiership|national,yes,height_cm|weight_kg,premiership:180|national:185,premiership:91|national:99,premiership:['England']|national:['England'],premiership:None|national:None,185,99,national,2026-07-24T00:15:25+09:00
caelan-doris,Caelan DORIS,urc|national,yes,height_cm|weight_kg,urc:191|national:198,urc:107|national:106,urc:['Ireland']|national:['Ireland'],urc:None|national:None,198,106,national,2026-07-23T23:59:24+09:00
caleb-clarke,Caleb CLARKE,super-rugby|national,yes,height_cm|weight_kg,super-rugby:193|national:194,super-rugby:111|national:113,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,193,111,super-rugby,2026-07-25T23:43:43+09:00
calixto-martinez,Cali MARTINEZ,mlr|national,yes,height_cm,mlr:170|national:171,mlr:112|national:112,mlr:[]|national:[],mlr:None|national:None,171,112,national,2026-07-23T23:49:44+09:00
callum-botchar,Callum BOTCHAR,mlr|national,yes,height_cm|weight_kg,mlr:198|national:194,mlr:116|national:119,mlr:['Canada']|national:['Canada'],mlr:None|national:None,194,119,national,2026-07-23T23:50:11+09:00
callum-sheedy,Callum SHEEDY,urc|national,yes,weight_kg,urc:180|national:180,urc:92|national:90,urc:['Wales']|national:['Wales'],urc:None|national:None,180,90,national,2026-07-24T00:10:17+09:00
cameron-hanekom,Cameron HANEKOM,urc|national,yes,height_cm,urc:191|national:190,urc:115|national:115,urc:['South Africa']|national:['South Africa'],urc:None|national:None,190,115,national,2026-07-24T00:06:40+09:00
cameron-roigard,Cam ROIGARD,super-rugby|national,yes,height_cm|weight_kg,super-rugby:188|national:186,super-rugby:84|national:87,super-rugby:['New Zealand']|national:['New Zealand'],super-rugby:None|national:None,188,84,super-rugby,2026-07-25T23:38:22+09:00
caolin-blade,Caolin BLADE,urc|national,yes,height_cm|weight_kg,urc:174|national:175,urc:84|national:86,urc:['Ireland']|national:['Ireland'],urc:None|national:None,175,86,national,2026-07-23T23:59:43+09:00
carlo-tizzano,Carlo TIZZANO,super-rugby|national,yes,height_cm|weight_kg,super-rugby:188|national:180,super-rugby:99|national:100,"super-rugby:['Australia', 'Italy']|national:['Australia', 'Italy']",super-rugby:None|national:None,188,99,super-rugby,2026-07-25T23:54:53+09:00
carlu-sadie,Carlü SADIE,top14|national,yes,height_cm|weight_kg,top14:180|national:184,top14:136|national:140,top14:['South Africa']|national:['South Africa'],top14:None|national:None,180,136,top14,2026-07-25T22:15:58+09:00
carter-gordon,Carter GORDON,super-rugby|national,yes,height_cm|weight_kg,super-rugby:192|national:186,super-rugby:98|national:92,super-rugby:[]|national:[],super-rugby:None|national:None,192,98,super-rugby,2026-07-25T23:50:22+09:00
chandler-cunningham-south,Chandler CUNNINGHAM-SOUTH,premiership|national,yes,height_cm|weight_kg,premiership:198|national:199,premiership:117|national:118,premiership:['England']|national:['England'],premiership:None|national:None,199,118,national,2026-07-24T00:14:26+09:00
charles-ollivon,Charles OLLIVON,top14|national,yes,height_cm|weight_kg,top14:194|national:202,top14:111|national:110,top14:['France']|national:['France'],top14:None|national:None,194,111,top14,2026-07-25T22:54:30+09:00
charlie-abel,Charlie ABEL,mlr|national,yes,height_cm,mlr:177|national:187,mlr:120|national:120,mlr:[]|national:[],mlr:None|national:None,187,120,national,2026-07-24T00:34:45+09:00
