年度,RawData,Source_URL
2025年度,1 | 古畑 翔Sho FURUHATA | 埼玉パナソニックワイルドナイツSAITAMA Panasonic WILD KNIGHTS | 大東文化大学Daito Bunka Univ. | 185 | 118 | 1996/12/10,https://www.rugby-japan.jp/news/53562
2025年度,2 | 平生 翔大Shodai HIRAO | 東京サントリーサンゴリアスTOKYO SUNTORY SUNGOLIATH | 関西学院大学Kwansei Gakuin Univ. | 174 | 103 | 2002/10/11,https://www.rugby-japan.jp/news/53562
2025年度,3 | 木原 三四郎Sanshiro KIHARA | 東京サントリーサンゴリアスTOKYO SUNTORY SUNGOLIATH | 専修大学Senshu Univ. | 181 | 108 | 2003/1/20,https://www.rugby-japan.jp/news/53562
2025年度,4 | デーヴィッド ・ヴァンジーランドDavid VAN ZEELAND | クボタスピアーズ船橋・東京ベイKubota Spears Funabashi TOKYO-BAY | 拓殖大学Takushoku Univ. | 196 | 116 | 2000/2/11,https://www.rugby-japan.jp/news/53562
2025年度,5 | 山本 秀Shu YAMAMOTO | リコーブラックラムズ東京RICOH BlackRams Tokyo | 近畿大学Kindai Univ. | 190 | 96 | 1999/6/1,https://www.rugby-japan.jp/news/53562
2025年度,6 | タイラー・ポールTyler PAUL | クボタスピアーズ船橋・東京ベイKubota Spears Funabashi TOKYO-BAY | ネルソン・マンデラ大学Nelson Mandela Univ. | 195 | 111 | 1995/1/20,https://www.rugby-japan.jp/news/53562
2025年度,7 | 奥井 章仁 ◎Akito OKUI | トヨタヴェルブリッツTOYOTA VERBLITZ | 帝京大学Teikyo Univ. | 178 | 105 | 2001/9/17,https://www.rugby-japan.jp/news/53562
2025年度,8 | サウマキ アマナキAmanaki SAUMAKI | 横浜キヤノンイーグルスYOKOHAMA CANON EAGLES | トゥポウカレッジTupou College | 189 | 107 | 1997/3/8,https://www.rugby-japan.jp/news/53562
2025年度,9 | 北村 瞬太郎Shuntaro KITAMURA | 静岡ブルーレヴズSHIZUOKA BlueRevs | 立命館大学Ritsumeikan Univ. | 168 | 77 | 2002/3/28,https://www.rugby-japan.jp/news/53562
2025年度,10 | 中楠 一期Ichigo NAKAKUSU | リコーブラックラムズ東京RICOH BlackRams Tokyo | 慶應義塾大学Keio Univ. | 174 | 84 | 2000/6/1,https://www.rugby-japan.jp/news/53562
2025年度,11 | ハラトア・ヴァイレアHalatoa VAILEA | クボタスピアーズ船橋・東京ベイKubota Spears Funabashi TOKYO-BAY | 日本体育大学Nippon Sport Science Univ. | 185 | 104 | 1999/2/14,https://www.rugby-japan.jp/news/53562
2025年度,12 | シオサイア・フィフィタSiosaia FIFITA | トヨタヴェルブリッツTOYOTA VERBLITZ | 天理大学Tenri Univ. | 187 | 105 | 1998/12/20,https://www.rugby-japan.jp/news/53562
2025年度,13 | 廣瀬 雄也Yuya HIROSE | クボタスピアーズ船橋・東京ベイKubota Spears Funabashi TOKYO-BAY | 明治大学Meiji Univ. | 182 | 94 | 2001/4/7,https://www.rugby-japan.jp/news/53562
2025年度,14 | 植田 和磨Kazuma UEDA | コベルコ神戸スティーラーズKOBELCO KOBE STEELERS | 近畿大学Kindai Univ. | 177 | 87 | 2002/12/4,https://www.rugby-japan.jp/news/53562
2025年度,15 | 矢崎 由高Yoshitaka YAZAKI | 早稲田大学Waseda Univ. | 桐蔭学園高校Toin Gakuen HS. | 180 | 86 | 2004/5/12,https://www.rugby-japan.jp/news/53562
2025年度,16 | 佐川 奨茉Shoma SAGAWA | 三菱重工相模原ダイナボアーズMitsubishi Heavy Industries Sagamihara Dynaboars | 日本大学Nihon Univ. | 180 | 103 | 2002/1/20,https://www.rugby-japan.jp/news/53562
2025年度,17 | 谷口 祐一郎Yuichiro TANIGUCHI | リコーブラックラムズ東京RICOH BlackRams Tokyo | 天理大学Tenri Univ. | 180 | 109 | 1998/6/4,https://www.rugby-japan.jp/news/53562
2025年度,18 | 小鍜治 悠太Yuta KOKAJI | 東芝ブレイブルーパス東京TOSHIBA BRAVE LUPUS TOKYO | 天理大学Tenri Univ. | 176 | 109 | 1998/7/8,https://www.rugby-japan.jp/news/53562
2025年度,19 | 伊藤 鐘平Shohei ITO | 東芝ブレイブルーパス東京TOSHIBA BRAVE LUPUS TOKYO | 京都産業大学Kyoto Sangyo Univ. | 190 | 115 | 1997/5/1,https://www.rugby-japan.jp/news/53562
2025年度,20 | 中谷 陸人Rikuto NAKAYA | 同志社大学Doshisha Univ. | 大阪桐蔭高校Osaka Toin HS. | 180 | 102 | 2005/4/15,https://www.rugby-japan.jp/news/53562
2025年度,21 | 土永 旭Asahi DOEI | 横浜キヤノンイーグルスYOKOHAMA CANON EAGLES | 京都産業大学Kyoto Sangyo Univ. | 170 | 73 | 2003/1/9,https://www.rugby-japan.jp/news/53562
2025年度,22 | 小村 真也Shinya KOMURA | トヨタヴェルブリッツTOYOTA VERBLITZ | 帝京大学Teikyo Univ. | 180 | 92 | 2002/5/28,https://www.rugby-japan.jp/news/53562
2025年度,23 | 伊藤 耕太郎Kotaro ITO | リコーブラックラムズ東京RICOH BlackRams Tokyo | 明治大学Meiji Univ. | 177 | 86 | 2001/11/15,https://www.rugby-japan.jp/news/53562
2025年度,1 | 古畑 翔Sho FURUHATA | 埼玉パナソニックワイルドナイツSAITAMA Panasonic WILD KNIGHTS | 大東文化大学Daito Bunka Univ. | 185 | 118 | 1996/12/10,https://www.rugby-japan.jp/news/53572
2025年度,2 | 平生 翔大Shodai HIRAO | 東京サントリーサンゴリアスTOKYO SUNTORY SUNGOLIATH | 関西学院大学Kwansei Gakuin Univ. | 174 | 103 | 2002/10/11,https://www.rugby-japan.jp/news/53572
2025年度,3 | 小鍜治 悠太Yuta KOKAJI | 東芝ブレイブルーパス東京TOSHIBA BRAVE LUPUS TOKYO | 天理大学Tenri Univ. | 176 | 109 | 1998/7/8,https://www.rugby-japan.jp/news/53572
2025年度,4 | エピネリ・ウルイヴァイティEpineri ULUIVITI | 三菱重工相模原ダイナボアーズMitsubishi Heavy Industries Sagamihara Dynaboars | ラトゥ カダヴレヴスクール[FIJ]Ratu Kadavulevu School | 196 | 122 | 1996/7/7,https://www.rugby-japan.jp/news/53572
2025年度,5 | デーヴィッド・ヴァンジーランドDavid VAN ZEELAND | クボタスピアーズ船橋・東京ベイKubota Spears Funabashi TOKYO-BAY | 拓殖大学Takushoku Univ. | 196 | 116 | 2000/2/11,https://www.rugby-japan.jp/news/53572
2025年度,6 | 伊藤 鐘平Shohei ITO | 東芝ブレイブルーパス東京TOSHIBA BRAVE LUPUS TOKYO | 京都産業大学Kyoto Sangyo Univ. | 190 | 115 | 1997/5/1,https://www.rugby-japan.jp/news/53572
2025年度,7 | 奥井 章仁 ◎Akito OKUI | トヨタヴェルブリッツTOYOTA VERBLITZ | 帝京大学Teikyo Univ. | 178 | 105 | 2001/9/17,https://www.rugby-japan.jp/news/53572
2025年度,8 | 中谷 陸人Rikuto NAKAYA | 同志社大学Doshisha Univ. | 大阪桐蔭高校Osaka Toin HS. | 180 | 102 | 2005/4/15,https://www.rugby-japan.jp/news/53572
2025年度,9 | 土永 旭Asahi DOEI | 横浜キヤノンイーグルスYOKOHAMA CANON EAGLES | 京都産業大学Kyoto Sangyo Univ. | 170 | 73 | 2003/1/9,https://www.rugby-japan.jp/news/53572
2025年度,10 | 小村 真也Shinya KOMURA | トヨタヴェルブリッツTOYOTA VERBLITZ | 帝京大学Teikyo Univ. | 180 | 92 | 2002/5/28,https://www.rugby-japan.jp/news/53572
2025年度,11 | 高本 とむTomu TAKAMOTO | リコーブラックラムズ東京RICOH BlackRams Tokyo | 帝京大学Teikyo Univ. | 182 | 92 | 2001/10/10,https://www.rugby-japan.jp/news/53572
2025年度,12 | 森 勇登Yuto MORI | 横浜キヤノンイーグルスYOKOHAMA CANON EAGLES | 明治大学Meiji Univ. | 174 | 85 | 1998/11/1,https://www.rugby-japan.jp/news/53572
