title,name_ja,name_en,position,height,weight,age,birth_date,birth_place_scraped,league,team,high_school,university,junior_high_school,rugby_school,caps,league_one_caps,scraped_url,category
藤田慶和,藤田慶和,---,---,185,90,---,1993-9-8,京都府京都市,top-east-a,AZ-COM丸和MOMOTARO'S,東福岡高校,早稲田大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/5704/,top-east
リコサイム,リコサイム,---,---,178,86,---,1999-9-14,ニュージーランド、クライストチャーチ,top-east-a,AZ-COM丸和MOMOTARO'S,,クライストチャーチボーイズハイスクール,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/4888/,top-east
田邉淳之介,田邉淳之介,---,---,180,85,---,1998-6-12,ニュージーランド/クライストチャーチ,top-east-a,AZ-COM丸和MOMOTARO'S,シャーリーボーイズ高校,東洋大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/4529/,top-east
大屋凌雅,大屋凌雅,---,---,178,82,---,2000-9-9,埼玉県深谷市,top-east-a,AZ-COM丸和MOMOTARO'S,深谷高校,国士舘大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/3730/,top-east
福本航太,福本航太,---,---,178,80,---,1996-4-25,広島県広島市,top-east-a,AZ-COM丸和MOMOTARO'S,崇徳高校,中京大学,---,---,---,---,https://www.momotaros.jp/archives/member/player/bk/606/,top-east
隆,隆,---,---,---,---,---,---,---,top-east-a,AZ-COM丸和MOMOTARO'S,---,---,---,---,---,---,https://www.momotaros.jp/archives/member/staff/buchou/4446/,top-east
直,直,---,---,---,---,---,---,---,top-east-a,AZ-COM丸和MOMOTARO'S,---,---,---,---,---,---,https://www.momotaros.jp/archives/member/staff/gm/4448/,top-east
武仁,武仁,---,---,---,---,---,---,---,top-east-a,AZ-COM丸和MOMOTARO'S,---,---,---,---,---,---,https://www.momotaros.jp/archives/member/staff/team-director/5637/,top-east
泰昌,泰昌,---,---,---,---,---,---,---,top-east-a,AZ-COM丸和MOMOTARO'S,---,---,---,---,---,---,https://www.momotaros.jp/archives/member/staff/assistant-coach/4741/,top-east
浩二,浩二,---,---,---,---,---,---,---,top-east-a,AZ-COM丸和MOMOTARO'S,---,---,---,---,---,---,https://www.momotaros.jp/archives/member/staff/assistant-coach/714/,top-east
茂範,茂範,---,---,---,---,---,---,---,top-east-a,AZ-COM丸和MOMOTARO'S,---,---,---,---,---,---,https://www.momotaros.jp/archives/member/staff/assistant-coach/4740/,top-east
武士,武士,---,---,---,---,---,---,---,top-east-a,AZ-COM丸和MOMOTARO'S,---,---,---,---,---,---,https://www.momotaros.jp/archives/member/staff/playing-coach/4453/,top-east
弘史,弘史,---,---,---,---,---,---,---,top-east-a,AZ-COM丸和MOMOTARO'S,---,---,---,---,---,---,https://www.momotaros.jp/archives/member/staff/strength-coach/4455/,top-east
