nationality,place_of_birth,birth_date,scraped_url,player_name
,,,https://all.rugby/player/sako-makata,Sako MAKATA
,,,https://all.rugby/player/sacha-zegueur,Sacha ZEGUEUR
South Africa,,,https://all.rugby/player/sacha-mngomezulu,Sacha FEINBERG-MNGOMEZULU
,,,https://all.rugby/player/sacha-lotrian,Sacha LOTRIAN
,,,https://all.rugby/player/rynhardt-jonker,Rynhardt JONKER
,,,https://all.rugby/player/ryan-woodman,Ryan WOODMAN
,,,https://all.rugby/player/ryan-smith-10493,Ryan SMITH
,,,https://all.rugby/player/ryan-jones-2006,Ryan JONES
Wales,,,https://all.rugby/player/ryan-elias,Ryan ELIAS
,,,https://all.rugby/player/ryan-conbeer,Ryan CONBEER
,,,https://all.rugby/player/ryan-chapuis,Ryan CHAPUIS
,,,https://all.rugby/player/ryan-burke,Ryan BURKE
,,,https://all.rugby/player/ruhan-nel,Ruhan NEL
,,,https://all.rugby/player/ruben-van-heerden,Ruben VAN HEERDEN
,,,https://all.rugby/player/ruben-schoeman,Ruben SCHOEMAN
,,,https://all.rugby/player/ruan-vermaak,Ruan VERMAAK
,,,https://all.rugby/player/ruan-venter,Ruan VENTER
,,,https://all.rugby/player/ruan-swart,Ruan SWART
South Africa,,,https://all.rugby/player/ruan-nortje,Ruan NORTJÉ
South Africa,,,https://all.rugby/player/ruan-dreyer,Ruan DREYER
,,,https://all.rugby/player/ruan-delport,Ruan DELPORT
,,,https://all.rugby/player/ruan-ackermann,Ruan ACKERMANN
,,,https://all.rugby/player/ruadhan-quinn,Ruadhán QUINN
,,,https://all.rugby/player/ross-wolfenden,Ross WOLFENDEN
,,,https://all.rugby/player/ross-thompson,Ross THOMPSON
England,,,https://all.rugby/player/ross-moriarty,Ross MORIARTY
,,,https://all.rugby/player/ross-mcknight,Ross MCKNIGHT
,,,https://all.rugby/player/ross-mccann-,Ross MCCANN
South Africa,,,https://all.rugby/player/ross-braude,Ross BRAUDE
Wales,,,https://all.rugby/player/rory-thornton,Rory THORNTON
Scotland,,,https://all.rugby/player/rory-sutherland,Rory SUTHERLAND
,,,https://all.rugby/player/rory-purvis,Rory PURVIS
,,,https://all.rugby/player/rory-mchaffie,Rory MCHAFFIE
