name_en,position,caps,club,representative_team,tournament
Amato Fakatava,Lock,3,Black Rams Tokyo,Japan,Rugby World Cup 2023
Uwe Helu,Lock,19,Kubota Spears,Japan,Rugby World Cup 2023
James Moore,Lock,16,Urayasu D-Rocks,Japan,Rugby World Cup 2023
Amanaki Saumaki,Lock,1,Kobelco Kobe Steelers,Japan,Rugby World Cup 2023
Shota Fukui,Back row,2,Saitama Wild Knights,Japan,Rugby World Cup 2023
Ben Gunter,Back row,8,Saitama Wild Knights,Japan,Rugby World Cup 2023
Kazuki Himeno,Back row,29,Toyota Verblitz,Japan,Rugby World Cup 2023
Lappies Labuschagné,Back row,16,Kubota Spears,Japan,Rugby World Cup 2023
Michael Leitch,Back row,80,Toshiba Brave Lupus Tokyo,Japan,Rugby World Cup 2023
Kanji Shimokawa,Back row,2,Tokyo Sungoliath,Japan,Rugby World Cup 2023
Kenta Fukuda,Scrum-half,0,Toyota Verblitz,Japan,Rugby World Cup 2023
Yutaka Nagare,Scrum-half,34,Tokyo Sungoliath,Japan,Rugby World Cup 2023
Naoto Saito,Scrum-half,15,Tokyo Sungoliath,Japan,Rugby World Cup 2023
Jumpei Ogura,Fly-half,4,Yokohama Canon Eagles,Japan,Rugby World Cup 2023
Rikiya Matsuda,Fly-half,33,Saitama Wild Knights,Japan,Rugby World Cup 2023
Lee Seung-sin,Fly-half,10,Kobelco Kobe Steelers,Japan,Rugby World Cup 2023
Ryoto Nakamura,Centre,35,Tokyo Sungoliath,Japan,Rugby World Cup 2023
Shōgo Nakano,Centre,7,Tokyo Sungoliath,Japan,Rugby World Cup 2023
Dylan Riley,Centre,14,Saitama Wild Knights,Japan,Rugby World Cup 2023
Tomoki Osada,Centre,4,Saitama Wild Knights,Japan,Rugby World Cup 2023
Ryohei Yamanaka,Centre,18,Kobelco Kobe Steelers,Japan,Rugby World Cup 2023
Siosaia Fifita,Wing,12,Toyota Verblitz,Japan,Rugby World Cup 2023
Lomano Lemeki,Wing,16,Green Rockets Tokatsu,Japan,Rugby World Cup 2023
Semisi Masirewa,Wing,5,Hanazono Kintetsu Liners,Japan,Rugby World Cup 2023
Jone Naikabula,Wing,4,Toshiba Brave Lupus Tokyo,Japan,Rugby World Cup 2023
Kotaro Matsushima,Fullback,51,Tokyo Sungoliath,Japan,Rugby World Cup 2023
Agustín Creevy,Hooker,101,Sale Sharks,Argentina,Rugby World Cup 2023
Julián Montoya,Hooker,89,Leicester Tigers,Argentina,Rugby World Cup 2023
Ignacio Ruiz,Hooker,6,Perpignan,Argentina,Rugby World Cup 2023
Eduardo Bello,Prop,14,Newcastle Falcons,Argentina,Rugby World Cup 2023
Thomas Gallo,Prop,17,Benetton,Argentina,Rugby World Cup 2023
Francisco Gómez Kodela,Prop,31,Lyon,Argentina,Rugby World Cup 2023
Joel Sclavi,Prop,12,La Rochelle,Argentina,Rugby World Cup 2023
Nahuel Tetaz Chaparro,Prop,78,Benetton,Argentina,Rugby World Cup 2023
Mayco Vivas,Prop,19,Gloucester,Argentina,Rugby World Cup 2023
Matías Alemanno,Lock,87,Gloucester,Argentina,Rugby World Cup 2023
Tomás Lavanini,Lock,82,Clermont,Argentina,Rugby World Cup 2023
Lucas Paulos,Lock,12,Brive,Argentina,Rugby World Cup 2023
Guido Petti,Lock,75,Bordeaux Bègles,Argentina,Rugby World Cup 2023
Pedro Rubiolo,Lock,5,Newcastle Falcons,Argentina,Rugby World Cup 2023
Rodrigo Bruni,Back row,21,Bayonne,Argentina,Rugby World Cup 2023
Juan Martín González,Back row,24,Saracens,Argentina,Rugby World Cup 2023
Santiago Grondona,Back row,15,Bristol Bears,Argentina,Rugby World Cup 2023
Facundo Isa,Back row,47,Toulon,Argentina,Rugby World Cup 2023
Marcos Kremer,Back row,57,Clermont,Argentina,Rugby World Cup 2023
Pablo Matera,Back row,95,Mie Honda Heat,Argentina,Rugby World Cup 2023
Joaquín Oviedo,Back row,1,Perpignan,Argentina,Rugby World Cup 2023
Lautaro Bazán,Scrum-half,7,Rovigo Delta,Argentina,Rugby World Cup 2023
Gonzalo Bertranou,Scrum-half,53,Dragons,Argentina,Rugby World Cup 2023
Tomás Cubelli,Scrum-half,89,Miami Sharks,Argentina,Rugby World Cup 2023
Santiago Carreras,Fly-half,35,Gloucester,Argentina,Rugby World Cup 2023
Nicolás Sánchez,Fly-half,98,Unattached,Argentina,Rugby World Cup 2023
Santiago Chocobares,Centre,14,Toulouse,Argentina,Rugby World Cup 2023
Lucio Cinti,Centre,16,Saracens,Argentina,Rugby World Cup 2023
Jerónimo de la Fuente,Centre,76,Perpignan,Argentina,Rugby World Cup 2023
Matías Moroni,Centre,74,Newcastle Falcons,Argentina,Rugby World Cup 2023
Emiliano Boffelli,Wing,53,Edinburgh,Argentina,Rugby World Cup 2023
Mateo Carreras,Wing,11,Newcastle Falcons,Argentina,Rugby World Cup 2023
Juan Imhoff,Wing,42,Racing 92,Argentina,Rugby World Cup 2023
Rodrigo Isgró,Wing,2,Argentina Sevens,Argentina,Rugby World Cup 2023
Martín Bogado,Fullback,2,Highlanders,Argentina,Rugby World Cup 2023
Juan Cruz Mallía,Fullback,26,Toulouse,Argentina,Rugby World Cup 2023
Seilala Lam,Hooker,23,Perpignan,Samoa,Rugby World Cup 2023
Sama Malolo,Hooker,3,San Diego Legion,Samoa,Rugby World Cup 2023
Ray Niuia,Hooker,14,Moana Pasifika,Samoa,Rugby World Cup 2023
Luteru Tolai,Hooker,3,Moana Pasifika,Samoa,Rugby World Cup 2023
Michael Alaalatoa,Prop,13,Leinster,Samoa,Rugby World Cup 2023
Paul Alo-Emile,Prop,21,Stade Français,Samoa,Rugby World Cup 2023
Charlie Faumuina,Prop,3,Toulouse,Samoa,Rugby World Cup 2023
James Lay,Prop,12,Blues,Samoa,Rugby World Cup 2023
Jordan Lay,Prop,26,Blues,Samoa,Rugby World Cup 2023
Brian Alainu'uese,Lock,5,Toulon,Samoa,Rugby World Cup 2023
Theo McFarland,Lock,7,Saracens,Samoa,Rugby World Cup 2023
Sam Slade,Lock,4,Moana Pasifika,Samoa,Rugby World Cup 2023
Chris Vui,Lock,25,Bristol Bears,Samoa,Rugby World Cup 2023
So'otala Fa'aso'o,Back row,1,Perpignan,Samoa,Rugby World Cup 2023
Miracle Faiʻilagi,Back row,3,Moana Pasifika,Samoa,Rugby World Cup 2023
Fritz Lee,Back row,7,Clermont,Samoa,Rugby World Cup 2023
Steve Luatua,Back row,3,Bristol Bears,Samoa,Rugby World Cup 2023
Alamanda Motuga,Back row,5,Moana Pasifika,Samoa,Rugby World Cup 2023
Taleni Seu,Back row,6,Toyota Shuttles,Samoa,Rugby World Cup 2023
Jordan Taufua,Back row,6,Lyon,Samoa,Rugby World Cup 2023
Ere Enari,Scrum-half,7,Moana Pasifika,Samoa,Rugby World Cup 2023
Melani Matavao,Scrum-half,13,Samoa Sevens,Samoa,Rugby World Cup 2023
Jonathan Taumateine,Scrum-half,11,Moana Pasifika,Samoa,Rugby World Cup 2023
Christian Leali'ifano,Fly-half,3,Moana Pasifika,Samoa,Rugby World Cup 2023
Lima Sopoaga,Fly-half,1,Shimizu Blue Sharks,Samoa,Rugby World Cup 2023
D'Angelo Leuila,Centre,18,Moana Pasifika,Samoa,Rugby World Cup 2023
Tumua Manu,Centre,7,Pau,Samoa,Rugby World Cup 2023
Duncan Paia'aua,Centre,6,Toulon,Samoa,Rugby World Cup 2023
UJ Seuteni,Centre,12,La Rochelle,Samoa,Rugby World Cup 2023
Nigel Ah Wong,Wing,8,Unattached,Samoa,Rugby World Cup 2023
Ed Fidow,Wing,19,New York,Samoa,Rugby World Cup 2023
Neria Fomai,Wing,8,Moana Pasifika,Samoa,Rugby World Cup 2023
Ben Lam,Wing,0,Montpellier,Samoa,Rugby World Cup 2023
Danny Toala,Fullback,8,Moana Pasifika,Samoa,Rugby World Cup 2023
Augusto Böhme,Hooker,22,Selknam,Chile,Rugby World Cup 2023
Tomás Dussaillant,Hooker,37,Selknam,Chile,Rugby World Cup 2023
Diego Escobar,Hooker,5,Selknam,Chile,Rugby World Cup 2023
Javier Carrasco,Prop,19,Selknam,Chile,Rugby World Cup 2023
Matías Dittus,Prop,21,Périgueux,Chile,Rugby World Cup 2023
Iñaki Gurruchaga,Prop,11,Selknam,Chile,Rugby World Cup 2023
Esteban Inostroza,Prop,1,Selknam,Chile,Rugby World Cup 2023
Vittorio Lastra,Prop,22,Selknam,Chile,Rugby World Cup 2023
Salvador Lues,Prop,11,Selknam,Chile,Rugby World Cup 2023
Javier Eissmann,Lock,21,Selknam,Chile,Rugby World Cup 2023
Pablo Huete,Lock,30,Selknam,Chile,Rugby World Cup 2023
Santiago Pedrero,Lock,6,Selknam,Chile,Rugby World Cup 2023
Augusto Sarmiento,Lock,15,PWCC,Chile,Rugby World Cup 2023
Alfonso Escobar,Back row,18,Selknam,Chile,Rugby World Cup 2023
Raimundo Martínez,Back row,10,Selknam,Chile,Rugby World Cup 2023
Thomas Orchard,Back row,12,Selknam,Chile,Rugby World Cup 2023
Clemente Saavedra,Back row,20,Selknam,Chile,Rugby World Cup 2023
Martín Sigren,Back row,27,Doncaster Knights,Chile,Rugby World Cup 2023
Ignacio Silva,Back row,38,Selknam,Chile,Rugby World Cup 2023
Lukas Carvallo,Scrum-half,6,Selknam,Chile,Rugby World Cup 2023
Nicolás Herreros,Scrum-half,5,Selknam,Chile,Rugby World Cup 2023
Marcelo Torrealba,Scrum-half,12,Selknam,Chile,Rugby World Cup 2023
Benjamín Videla,Scrum-half,0,Selknam,Chile,Rugby World Cup 2023
Rodrigo Fernández,Fly-half,23,Selknam,Chile,Rugby World Cup 2023
Santiago Videla,Fly-half,25,Selknam,Chile,Rugby World Cup 2023
Pablo Casas,Centre,15,Selknam,Chile,Rugby World Cup 2023
Matías Garafulic,Centre,12,Selknam,Chile,Rugby World Cup 2023
José Ignacio Larenas,Centre,47,Selknam,Chile,Rugby World Cup 2023
Domingo Saavedra,Centre,24,Selknam,Chile,Rugby World Cup 2023
Cristóbal Game Jiménez,Wing,1,Old John's,Chile,Rugby World Cup 2023
Nicolás Garafulic,Wing,19,Selknam,Chile,Rugby World Cup 2023
Franco Velarde,Wing,16,VOBGS,Chile,Rugby World Cup 2023
Iñaki Ayarza,Fullback,14,Soyaux Angoulême,Chile,Rugby World Cup 2023
Francisco Urroz,Fullback,11,Selknam,Chile,Rugby World Cup 2023
28,Selknam,0,Selknam,Player representation by club,Rugby World Cup 2023
21,Peñarol,0,Peñarol,Player representation by club,Rugby World Cup 2023
20,Benetton,0,Benetton,Player representation by club,Rugby World Cup 2023
19,Moana Pasifika,0,Moana Pasifika,Player representation by club,Rugby World Cup 2023
18,Leinster,0,Leinster,Player representation by club,Rugby World Cup 2023
17,Fijian Drua /  Toulouse,0,Fijian Drua /  Toulouse,Player representation by club,Rugby World Cup 2023
16,Edinburgh,0,Edinburgh,Player representation by club,Rugby World Cup 2023
15,Black Lion /  Glasgow Warriors,0,Black Lion /  Glasgow Warriors,Player representation by club,Rugby World Cup 2023
13,Saracens /  Saitama Wild Knights,0,Saracens /  Saitama Wild Knights,Player representation by club,Rugby World Cup 2023
11,La Rochelle /  Toulon,0,La Rochelle /  Toulon,Player representation by club,Rugby World Cup 2023
660,660,0,—,Player representation by league,Rugby World Cup 2023
132,132,200,20.0%,Player representation by league,Rugby World Cup 2023
106,106,160,16.0%,Player representation by league,Rugby World Cup 2023
106,106,160,16.0%,Player representation by league,Rugby World Cup 2023
64,64,96,9.6%,Player representation by league,Rugby World Cup 2023
50,50,76,7.6%,Player representation by league,Rugby World Cup 2023
49,49,74,7.4%,Player representation by league,Rugby World Cup 2023
32,32,48,4.8%,Player representation by league,Rugby World Cup 2023
24,24,36,3.6%,Player representation by league,Rugby World Cup 2023
17,17,26,2.6%,Player representation by league,Rugby World Cup 2023
16,16,24,2.4%,Player representation by league,Rugby World Cup 2023
14,14,21,2.1%,Player representation by league,Rugby World Cup 2023
10,10,15,1.5%,Player representation by league,Rugby World Cup 2023
31,31,47,4.7%,Player representation by league,Rugby World Cup 2023
660,660,0,—,Player representation by nation,Rugby World Cup 2023
32,32,3,3,Player representation by nation,Rugby World Cup 2023
30,30,0,—,Player representation by nation,Rugby World Cup 2023
64,64,36,36,Player representation by nation,Rugby World Cup 2023
17,17,0,—,Player representation by nation,Rugby World Cup 2023
155,155,122,122,Player representation by nation,Rugby World Cup 2023
16,16,0,—,Player representation by nation,Rugby World Cup 2023
37,37,5,5,Player representation by nation,Rugby World Cup 2023
28,28,6,6,Player representation by nation,Rugby World Cup 2023
50,50,17,17,Player representation by nation,Rugby World Cup 2023
57,57,24,24,Player representation by nation,Rugby World Cup 2023
16,16,0,—,Player representation by nation,Rugby World Cup 2023
24,24,1,1,Player representation by nation,Rugby World Cup 2023
31,31,3,3,Player representation by nation,Rugby World Cup 2023
24,24,7,7,Player representation by nation,Rugby World Cup 2023
25,25,0,—,Player representation by nation,Rugby World Cup 2023
23,23,3,3,Player representation by nation,Rugby World Cup 2023
Pedro Rubiolo,28,0,Pedro Rubiolo,Player representation by nation,Rugby World Cup 2023
Max Jorgensen,25,0,Max Jorgensen,Player representation by nation,Rugby World Cup 2023
Lukas Carvallo,27,0,Lukas Carvallo,Player representation by nation,Rugby World Cup 2023
Henry Arundell,28,0,Henry Arundell,Player representation by nation,Rugby World Cup 2023
Sireli Maqala,27,0,Sireli Maqala,Player representation by nation,Rugby World Cup 2023
Louis Bielle-Biarrey,27,0,Louis Bielle-Biarrey,Player representation by nation,Rugby World Cup 2023
Tornike Kakhoidze,27,0,Tornike Kakhoidze,Player representation by nation,Rugby World Cup 2023
Joe McCarthy,29,0,Joe McCarthy,Player representation by nation,Rugby World Cup 2023
Lorenzo Pani,27,0,Lorenzo Pani,Player representation by nation,Rugby World Cup 2023
Warner Dearns,29,0,Warner Dearns,Player representation by nation,Rugby World Cup 2023
Oela Blaauw,28,0,Oela Blaauw,Player representation by nation,Rugby World Cup 2023
Cam Roigard,27,0,Cam Roigard,Player representation by nation,Rugby World Cup 2023
Simão Bento,27,0,Simão Bento,Player representation by nation,Rugby World Cup 2023
Mihai Mureșan,27,0,Mihai Mureșan,Player representation by nation,Rugby World Cup 2023
Miracle Faiʻilagi,29,0,Miracle Faiʻilagi,Player representation by nation,Rugby World Cup 2023
Ollie Smith,28,0,Ollie Smith,Player representation by nation,Rugby World Cup 2023
Canan Moodie,30,0,Canan Moodie,Player representation by nation,Rugby World Cup 2023
Kyren Taumoefolau,29,0,Kyren Taumoefolau,Player representation by nation,Rugby World Cup 2023
Santiago Álvarez,26,0,Santiago Álvarez,Player representation by nation,Rugby World Cup 2023
Dafydd Jenkins,28,0,Dafydd Jenkins,Player representation by nation,Rugby World Cup 2023
Emoni Narawa,1524,1524,Emoni Narawa,Squad caps,Rugby World Cup 2023
Theo Dan,1476,1476,Theo Dan,Squad caps,Rugby World Cup 2023
Rodrigo Isgro,1454,1454,Rodrigo Isgro,Squad caps,Rugby World Cup 2023
Jean Kleyn,1369,1369,Jean Kleyn,Squad caps,Rugby World Cup 2023
Jeremy Loughman,1332,1332,Jeremy Loughman,Squad caps,Rugby World Cup 2023
Corey Domachowski,1297,1297,Corey Domachowski / Henry Thomas,Squad caps,Rugby World Cup 2023
Luka Nioradze,1246,1246,Luka Nioradze,Squad caps,Rugby World Cup 2023
Ben Healy,1037,1037,Ben Healy,Squad caps,Rugby World Cup 2023
Ignacio Facciolo,1019,1019,Ignacio Facciolo,Squad caps,Rugby World Cup 2023
Joris Moura,840,840,Joris Moura,Squad caps,Rugby World Cup 2023
Paul Boudehent,835,835,Paul Boudehent,Squad caps,Rugby World Cup 2023
Giacomo Da Re,746,746,Giacomo Da Re / Martin Page-Relo,Squad caps,Rugby World Cup 2023
Tevita Manumua,681,681,Tevita Manumua,Squad caps,Rugby World Cup 2023
Max Jorgensen,668,668,Max Jorgensen,Squad caps,Rugby World Cup 2023
Kenta Fukuda,660,660,Kenta Fukuda / Sione Halasili,Squad caps,Rugby World Cup 2023
Benjamín Videla,575,575,Benjamín Videla,Squad caps,Rugby World Cup 2023
Oela Blaauw,563,563,Oela Blaauw,Squad caps,Rugby World Cup 2023
Adam Coleman,407,407,Adam Coleman,Squad caps,Rugby World Cup 2023
Vilive Miramira,374,374,Vilive Miramira,Squad caps,Rugby World Cup 2023
Ben Lam,297,297,Ben Lam,Squad caps,Rugby World Cup 2023
Charlie Faumuina,New Zealand,0,,Nationality changes between World Cups,Rugby World Cup 2023
Malakai Fekitoa,New Zealand,0,,Nationality changes between World Cups,Rugby World Cup 2023
Adam Coleman,Australia,0,,Nationality changes between World Cups,Rugby World Cup 2023
Jack Dempsey,Australia,0,,Nationality changes between World Cups,Rugby World Cup 2023
Jean Kleyn,Ireland,0,,Nationality changes between World Cups,Rugby World Cup 2023
Christian Leali'ifano,Australia,0,,Nationality changes between World Cups,Rugby World Cup 2023
Luke Cowan-Dickie,Hooker,41,Sale Sharks,England,Six Nations 2024
Theo Dan,Hooker,7,Saracens,England,Six Nations 2024
Jamie George,Hooker,85,Saracens,England,Six Nations 2024
Dan Cole,Prop,107,Leicester Tigers,England,Six Nations 2024
Ellis Genge,Prop,58,Bristol Bears,England,Six Nations 2024
Joe Heyes,Prop,7,Leicester Tigers,England,Six Nations 2024
Joe Marler,Prop,88,Harlequins,England,Six Nations 2024
Beno Obano,Prop,3,Bath,England,Six Nations 2024
Will Stuart,Prop,33,Bath,England,Six Nations 2024
Ollie Chessum,Lock,18,Leicester Tigers,England,Six Nations 2024
Alex Coles,Lock,3,Northampton Saints,England,Six Nations 2024
Nick Isiekwe,Lock,11,Saracens,England,Six Nations 2024
Maro Itoje,Lock,76,Saracens,England,Six Nations 2024
Chandler Cunningham-South,Back row,0,Harlequins,England,Six Nations 2024
Ben Curry,Back row,5,Sale Sharks,England,Six Nations 2024
Alex Dombrandt,Back row,15,Harlequins,England,Six Nations 2024
Ben Earl,Back row,25,Saracens,England,Six Nations 2024
Tom Pearson,Back row,1,Northampton Saints,England,Six Nations 2024
Ethan Roots,Back row,0,Exeter Chiefs,England,Six Nations 2024
Sam Underhill,Back row,30,Bath,England,Six Nations 2024
Danny Care,Scrum-half,96,Harlequins,England,Six Nations 2024
Alex Mitchell,Scrum-half,11,Northampton Saints,England,Six Nations 2024
Ben Spencer,Scrum-half,4,Bath,England,Six Nations 2024
George Ford,Fly-half,91,Sale Sharks,England,Six Nations 2024
Fin Smith,Fly-half,0,Northampton Saints,England,Six Nations 2024
Marcus Smith,Fly-half,30,Harlequins,England,Six Nations 2024
Oscar Beard,Centre,0,Harlequins,England,Six Nations 2024
Elliot Daly,Centre,64,Saracens,England,Six Nations 2024
Fraser Dingwall,Centre,0,Northampton Saints,England,Six Nations 2024
Ollie Lawrence,Centre,21,Bath,England,Six Nations 2024
Henry Slade,Centre,57,Exeter Chiefs,England,Six Nations 2024
Immanuel Feyi-Waboso,Wing,0,Exeter Chiefs,England,Six Nations 2024
Tommy Freeman,Wing,3,Northampton Saints,England,Six Nations 2024
Tom Roebuck,Wing,0,Sale Sharks,England,Six Nations 2024
George Furbank,Fullback,6,Northampton Saints,England,Six Nations 2024
Freddie Steward,Fullback,31,Leicester Tigers,England,Six Nations 2024
Jamie Blamire,Hooker,6,Newcastle Falcons,Call-ups,Six Nations 2024
Charlie Ewels,Lock,30,Bath,Call-ups,Six Nations 2024
George Martin,Lock,9,Leicester Tigers,Call-ups,Six Nations 2024
Guy Pepper,Back row,0,Newcastle Falcons,Call-ups,Six Nations 2024
Harry Randall,Scrum-half,6,Bristol Bears,Call-ups,Six Nations 2024
Max Ojomoh,Centre,0,Bath,Call-ups,Six Nations 2024
Manu Tuilagi,Centre,59,Sale Sharks,Call-ups,Six Nations 2024
Will Muir,Wing,0,Bath,Call-ups,Six Nations 2024
Gaëtan Barlot,Hooker,7,Castres,France,Six Nations 2024
Julien Marchand,Hooker,32,Toulouse,France,Six Nations 2024
Peato Mauvaka,Hooker,29,Toulouse,France,Six Nations 2024
Dorian Aldegheri,Prop,16,Toulouse,France,Six Nations 2024
Uini Atonio,Prop,57,La Rochelle,France,Six Nations 2024
Cyril Baille,Prop,47,Toulouse,France,Six Nations 2024
Thomas Laclayat,Prop,1,Racing 92,France,Six Nations 2024
Sébastien Taofifénua,Prop,3,Lyon,France,Six Nations 2024
Reda Wardi,Prop,14,La Rochelle,France,Six Nations 2024
Paul Gabrillagues,Lock,16,Stade Français,France,Six Nations 2024
Matthias Halagahu,Lock,0,Toulon,France,Six Nations 2024
Emmanuel Meafou,Lock,0,Toulouse,France,Six Nations 2024
Romain Taofifénua,Lock,49,Lyon,France,Six Nations 2024
Cameron Woki,Lock,27,Racing 92,France,Six Nations 2024
Esteban Abadie,Back row,0,Toulon,France,Six Nations 2024
Grégory Alldritt,Back row,45,La Rochelle,France,Six Nations 2024
Paul Boudehent,Back row,6,La Rochelle,France,Six Nations 2024
François Cros,Back row,27,Toulouse,France,Six Nations 2024
Anthony Jelonch,Back row,29,Toulouse,France,Six Nations 2024
Charles Ollivon,Back row,39,Toulon,France,Six Nations 2024
Nolann Le Garrec,Scrum-half,0,Racing 92,France,Six Nations 2024
Maxime Lucu,Scrum-half,18,Bordeaux-Bègles,France,Six Nations 2024
Antoine Gibert,Fly-half,0,Racing 92,France,Six Nations 2024
Matthieu Jalibert,Fly-half,30,Bordeaux-Bègles,France,Six Nations 2024
Jonathan Danty,Centre,26,La Rochelle,France,Six Nations 2024
Nicolas Depoortère,Centre,0,Bordeaux-Bègles,France,Six Nations 2024
Gaël Fickou,Centre,85,Racing 92,France,Six Nations 2024
Émilien Gailleton,Centre,1,Pau,France,Six Nations 2024
Yoram Moefana,Centre,23,Bordeaux-Bègles,France,Six Nations 2024
Louis Bielle-Biarrey,Wing,7,Bordeaux-Bègles,France,Six Nations 2024
Matthis Lebel,Wing,5,Toulouse,France,Six Nations 2024
Damian Penaud,Wing,48,Bordeaux-Bègles,France,Six Nations 2024
Melvyn Jaminet,Fullback,19,Toulon,France,Six Nations 2024
Thomas Ramos,Fullback,31,Toulouse,France,Six Nations 2024
Dany Priso,Prop,18,Toulon,Call-ups,Six Nations 2024
Posolo Tuilagi,Lock,0,Perpignan,Call-ups,Six Nations 2024
Paul Willemse,Lock,31,Montpellier,Call-ups,Six Nations 2024
Marko Gazzotti,Back row,0,Bordeaux-Bègles,Call-ups,Six Nations 2024
Lenni Nouchi,Back row,0,Montpellier,Call-ups,Six Nations 2024
Alexandre Roumat,Back row,0,Toulouse,Call-ups,Six Nations 2024
Antoine Frisch,Centre,0,Munster,Call-ups,Six Nations 2024
Léo Barré,Fullback,0,Stade Français,Call-ups,Six Nations 2024
Rónan Kelleher,Hooker,31,Leinster,Ireland,Six Nations 2024
Dan Sheehan,Hooker,26,Leinster,Ireland,Six Nations 2024
Tom Stewart,Hooker,2,Ulster,Ireland,Six Nations 2024
Finlay Bealham,Prop,40,Connacht,Ireland,Six Nations 2024
Tadhg Furlong,Prop,76,Leinster,Ireland,Six Nations 2024
Cian Healy,Prop,129,Leinster,Ireland,Six Nations 2024
Jeremy Loughman,Prop,5,Munster,Ireland,Six Nations 2024
Tom O'Toole,Prop,13,Ulster,Ireland,Six Nations 2024
Andrew Porter,Prop,64,Leinster,Ireland,Six Nations 2024
Ryan Baird,Lock,20,Leinster,Ireland,Six Nations 2024
Tadhg Beirne,Lock,50,Munster,Ireland,Six Nations 2024
Iain Henderson,Lock,81,Ulster,Ireland,Six Nations 2024
Joe McCarthy,Lock,10,Leinster,Ireland,Six Nations 2024
James Ryan,Lock,62,Leinster,Ireland,Six Nations 2024
Jack Conan,Back row,46,Leinster,Ireland,Six Nations 2024
Caelan Doris,Back row,41,Leinster,Ireland,Six Nations 2024
Peter O'Mahony,Back row,105,Munster,Ireland,Six Nations 2024
Nick Timoney,Back row,3,Ulster,Ireland,Six Nations 2024
Josh van der Flier,Back row,62,Leinster,Ireland,Six Nations 2024
Craig Casey,Scrum-half,14,Munster,Ireland,Six Nations 2024
Jamison Gibson-Park,Scrum-half,35,Leinster,Ireland,Six Nations 2024
Conor Murray,Scrum-half,116,Munster,Ireland,Six Nations 2024
Harry Byrne,Fly-half,4,Leinster,Ireland,Six Nations 2024
Jack Crowley,Fly-half,14,Munster,Ireland,Six Nations 2024
Ciarán Frawley,Fly-half,4,Leinster,Ireland,Six Nations 2024
Bundee Aki,Centre,56,Connacht,Ireland,Six Nations 2024
Robbie Henshaw,Centre,72,Leinster,Ireland,Six Nations 2024
Stuart McCloskey,Centre,17,Ulster,Ireland,Six Nations 2024
Garry Ringrose,Centre,58,Leinster,Ireland,Six Nations 2024
Jordan Larmour,Wing,32,Leinster,Ireland,Six Nations 2024
James Lowe,Wing,31,Leinster,Ireland,Six Nations 2024
Calvin Nash,Wing,6,Munster,Ireland,Six Nations 2024
Jacob Stockdale,Wing,37,Ulster,Ireland,Six Nations 2024
Hugo Keenan,Fullback,39,Leinster,Ireland,Six Nations 2024
Oli Jager,Prop,0,Munster,Call-ups,Six Nations 2024
Thomas Ahern,Lock,0,Munster,Call-ups,Six Nations 2024
Gianmarco Lucchesi,Hooker,17,Benetton,Italy,Six Nations 2024
Marco Manfredi,Hooker,3,Zebre Parma,Italy,Six Nations 2024
Giacomo Nicotera,Hooker,18,Benetton,Italy,Six Nations 2024
Pietro Ceccarelli,Prop,31,Perpignan,Italy,Six Nations 2024
Danilo Fischetti,Prop,36,Zebre Parma,Italy,Six Nations 2024
Matteo Nocera,Prop,0,Zebre Parma,Italy,Six Nations 2024
Luca Rizzoli,Prop,0,Zebre Parma,Italy,Six Nations 2024
Mirco Spagnolo,Prop,0,Benetton,Italy,Six Nations 2024
Giosuè Zilocchi,Prop,16,Benetton,Italy,Six Nations 2024
Niccolò Cannone,Lock,36,Benetton,Italy,Six Nations 2024
Riccardo Favretto,Lock,1,Benetton,Italy,Six Nations 2024
Edoardo Iachizzi,Lock,6,Benetton,Italy,Six Nations 2024
Federico Ruzza,Lock,50,Benetton,Italy,Six Nations 2024
Andrea Zambonin,Lock,3,Zebre Parma,Italy,Six Nations 2024
Lorenzo Cannone,Back row,16,Benetton,Italy,Six Nations 2024
Alessandro Izekor,Back row,0,Benetton,Italy,Six Nations 2024
Michele Lamaro,Back row,33,Benetton,Italy,Six Nations 2024
Sebastian Negri,Back row,52,Benetton,Italy,Six Nations 2024
Ross Vintcent,Back row,0,Exeter Chiefs,Italy,Six Nations 2024
Manuel Zuliani,Back row,17,Benetton,Italy,Six Nations 2024
Alessandro Garbisi,Scrum-half,5,Benetton,Italy,Six Nations 2024
Martin Page-Relo,Scrum-half,4,Lyon,Italy,Six Nations 2024
Stephen Varney,Scrum-half,24,Gloucester,Italy,Six Nations 2024
Tommaso Allan,Fly-half,79,Perpignan,Italy,Six Nations 2024
Paolo Garbisi,Fly-half,31,Montpellier,Italy,Six Nations 2024
Ignacio Brex,Centre,30,Benetton,Italy,Six Nations 2024
Tommaso Menoncello,Centre,13,Benetton,Italy,Six Nations 2024
Federico Mori,Centre,13,Bayonne,Italy,Six Nations 2024
Marco Zanon,Centre,15,Benetton,Italy,Six Nations 2024
Pierre Bruno,Wing,15,Zebre Parma,Italy,Six Nations 2024
Simone Gesi,Wing,1,Zebre Parma,Italy,Six Nations 2024
Monty Ioane,Wing,25,Lyon,Italy,Six Nations 2024
Ange Capuozzo,Fullback,16,Toulouse,Italy,Six Nations 2024
Lorenzo Pani,Fullback,5,Zebre Parma,Italy,Six Nations 2024
Luca Bigi,Hooker,48,Zebre Parma,Call-ups,Six Nations 2024
Simone Ferrari,Prop,50,Benetton,Call-ups,Six Nations 2024
Marco Riccioni,Prop,26,Saracens,Call-ups,Six Nations 2024
